"SourceLabware","SourceSlot","TargetLabware","TargetSlot","TransAmt","MixAmt","TipID","Comment"
">Amount List","","","","","","",""
"labware_10","A1","AB1","NA","1700","NA","NA","NA"
"labware_11","A1","MED_A","NA","31","NA","NA","NA"
">CommandLines","","","","","","",""
"labware_11","A1","labware_9","A1","675","0","1","Initial solvent distribution"
"labware_11","A1","labware_9","A2","1012.5","0","1","Initial solvent distribution"
"labware_11","A1","labware_9","A3","1181.25","0","1","Initial solvent distribution"
"labware_11","A1","labware_9","A4","1265.625","0","1","Initial solvent distribution"
"labware_11","A1","labware_9","A5","1307.8125","0","1","Initial solvent distribution"
"labware_11","A1","labware_9","B1","1328.90625","0","1","Initial solvent distribution"
"labware_11","A1","labware_9","B2","1339.453125","0","1","Initial solvent distribution"
"labware_11","A1","labware_9","B3","1344.7265625","0","1","Initial solvent distribution"
"labware_11","A1","labware_9","B4","1315.71606774738","0","1","Initial solvent distribution"
"labware_10","A1","labware_9","B4","1379.01049475262","1379.01049475262","2","Initial stock dilution"
"labware_9","B4","labware_9","B3","1344.7265625","1344.7265625","3","Serially diluting to  AB1 128 MED_A"
"labware_9","B3","labware_9","B2","1339.453125","1339.453125","4","Serially diluting to  AB1 64 MED_A"
"labware_9","B2","labware_9","B1","1328.90625","1328.90625","5","Serially diluting to  AB1 32 MED_A"
"labware_9","B1","labware_9","A5","1307.8125","1307.8125","6","Serially diluting to  AB1 16 MED_A"
"labware_9","A5","labware_9","A4","1265.625","1265.625","7","Serially diluting to  AB1 8 MED_A"
"labware_9","A4","labware_9","A3","1181.25","1181.25","8","Serially diluting to  AB1 4 MED_A"
"labware_9","A3","labware_9","A2","1012.5","1012.5","9","Serially diluting to  AB1 2 MED_A"
"labware_9","A2","labware_9","A1","675","675","10","Serially diluting to  AB1 1 MED_A"
"labware_9","A1","labware_4","B10, C10, D10, E10, F10, G10","100","0","11","Distributing  AB1 1 MED_A"
"labware_9","A1","labware_5","B10, C10, D10, E10, F10, G10","100","0","11","Distributing  AB1 1 MED_A"
"labware_9","A2","labware_4","B9, C9, D9, E9, F9, G9","100","0","12","Distributing  AB1 2 MED_A"
"labware_9","A2","labware_5","B9, C9, D9, E9, F9, G9","100","0","12","Distributing  AB1 2 MED_A"
"labware_9","A3","labware_4","B8, C8, D8, E8, F8, G8","100","0","13","Distributing  AB1 4 MED_A"
"labware_9","A3","labware_5","B8, C8, D8, E8, F8, G8","100","0","13","Distributing  AB1 4 MED_A"
"labware_9","A4","labware_4","B7, C7, D7, E7, F7, G7","100","0","14","Distributing  AB1 8 MED_A"
"labware_9","A4","labware_5","B7, C7, D7, E7, F7, G7","100","0","14","Distributing  AB1 8 MED_A"
"labware_9","A5","labware_4","B6, C6, D6, E6, F6, G6","100","0","15","Distributing  AB1 16 MED_A"
"labware_9","A5","labware_5","B6, C6, D6, E6, F6, G6","100","0","15","Distributing  AB1 16 MED_A"
"labware_9","B1","labware_4","B5, C5, D5, E5, F5, G5","100","0","16","Distributing  AB1 32 MED_A"
"labware_9","B1","labware_5","B5, C5, D5, E5, F5, G5","100","0","16","Distributing  AB1 32 MED_A"
"labware_9","B2","labware_4","B4, C4, D4, E4, F4, G4","100","0","17","Distributing  AB1 64 MED_A"
"labware_9","B2","labware_5","B4, C4, D4, E4, F4, G4","100","0","17","Distributing  AB1 64 MED_A"
"labware_9","B3","labware_4","B3, C3, D3, E3, F3, G3","100","0","18","Distributing  AB1 128 MED_A"
"labware_9","B3","labware_5","B3, C3, D3, E3, F3, G3","100","0","18","Distributing  AB1 128 MED_A"
"labware_9","B4","labware_4","B2, C2, D2, E2, F2, G2","100","0","19","Distributing  AB1 256 MED_A"
"labware_9","B4","labware_5","B2, C2, D2, E2, F2, G2","100","0","19","Distributing  AB1 256 MED_A"
"labware_11","A1","labware_4","A1, A2, A3, A4, A5, A6, A7, A8","200","0","20","Filling outer wells with WATER"
"labware_11","A1","labware_4","A9, A10, A11, A12, B1, B11, B12, C1","200","0","21","Filling outer wells with WATER"
"labware_11","A1","labware_4","C11, C12, D1, D11, D12, E1, E11, E12","200","0","22","Filling outer wells with WATER"
"labware_11","A1","labware_4","F1, F11, F12, G1, G11, G12, H1, H2","200","0","23","Filling outer wells with WATER"
"labware_11","A1","labware_4","H3, H4, H5, H6, H7, H8, H9, H10","200","0","24","Filling outer wells with WATER"
"labware_11","A1","labware_4","H11, H12","200","0","25","Filling outer wells with WATER"
"labware_11","A1","labware_5","A1, A2, A3, A4, A5, A6, A7, A8","200","0","26","Filling outer wells with WATER"
"labware_11","A1","labware_5","A9, A10, A11, A12, B1, B11, B12, C1","200","0","27","Filling outer wells with WATER"
"labware_11","A1","labware_5","C11, C12, D1, D11, D12, E1, E11, E12","200","0","28","Filling outer wells with WATER"
"labware_11","A1","labware_5","F1, F11, F12, G1, G11, G12, H1, H2","200","0","29","Filling outer wells with WATER"
"labware_11","A1","labware_5","H3, H4, H5, H6, H7, H8, H9, H10","200","0","30","Filling outer wells with WATER"
"labware_11","A1","labware_5","H11, H12","200","0","31","Filling outer wells with WATER"
">PlateMap","","","","","","",""
"labware_1","(empty)","NA","NA","NA","NA","NA","NA"
"labware_2","(empty)","NA","NA","NA","NA","NA","NA"
"labware_3","(empty)","NA","NA","NA","NA","NA","NA"
"labware_4","96-well_A","NA","NA","NA","NA","NA","NA"
"labware_5","96-well_B","NA","NA","NA","NA","NA","NA"
"labware_6","(empty)","NA","NA","NA","NA","NA","NA"
"labware_7","tip","NA","NA","NA","NA","NA","NA"
