"SourceLabware,""SourceSlot"",""TargetLabware"",""TargetSlot"",""TransAmt"",""MixAmt"",""TipID"",""Comment"",""Source_type"""
">Amount List,"""","""","""",NA,NA,NA,"""","""""
"labware_8,""A1"",""MED_A"",NA,15,NA,NA,NA,"""""
"labware_10,""A1"",""Amp"",NA,500,NA,NA,NA,"""""
"labware_11,""A1"",""MED_A"",NA,15,NA,NA,NA,"""""
">CommandLines,"""","""","""",NA,NA,NA,"""","""""
">PlateMap,"""","""","""",NA,NA,NA,"""","""""
"labware_1,""(empty)"",NA,NA,NA,NA,NA,NA,"""""
"labware_2,""(empty)"",NA,NA,NA,NA,NA,NA,"""""
"labware_3,""(empty)"",NA,NA,NA,NA,NA,NA,"""""
"labware_4,""96-well_A"",NA,NA,NA,NA,NA,NA,"""""
"labware_5,""tiprack_1000"",NA,NA,NA,NA,NA,NA,"""""
"labware_6,""tiprack_300s"",NA,NA,NA,NA,NA,NA,"""""
"labware_7,""tiprack_300m"",NA,NA,NA,NA,NA,NA,"""""
"labware_8,""Reservoir"",NA,NA,NA,NA,NA,NA,"""""
"labware_9,""15_Falcon_main"",NA,NA,NA,NA,NA,NA,"""""
"labware_10,""15ml_Falcon_stock"",NA,NA,NA,NA,NA,NA,"""""
"labware_11,""Solvent"",NA,NA,NA,NA,NA,NA,"""""
"labware_12,""TRASH"",NA,NA,NA,NA,NA,NA,"""""
