"SourceLabware","SourceSlot","TargetLabware","TargetSlot","TransAmt","MixAmt","TipID","Comment"
">AmountList","","","","","","",""
"labware_3","A1","Salt.mixture.A","","27000","","",""
"labware_1","A1","MgSO4..7H2O.","","400","","",""
"labware_1","A2","CaCl2","","400","","",""
"labware_1","A3","KNO3","","500","","",""
"labware_5","A1","Trace.metal.mixture.A","","3000","","",""
"labware_5","A2","BME.vitamin.mixture","","3000","","",""
"labware_1","A4","Alanine","","500","","",""
"labware_1","A5","Arginine...HCl","","500","","",""
"labware_1","A6","Aspartate","","1100","","",""
"labware_1","B1","Cysteine","","400","","",""
"labware_5","A3","Glutamate","","7000","","",""
"labware_1","B2","Glycine","","400","","",""
"labware_5","A4","Histidine.HCl.H2O","","4000","","",""
"labware_5","A5","Isoleucine","","3000","","",""
"labware_5","B1","Leucine","","4000","","",""
"labware_1","B3","Lysine...HCl","","400","","",""
"labware_1","B4","Methionine","","500","","",""
"labware_5","B2","Phenylalanine","","3000","","",""
"labware_1","B5","Proline","","500","","",""
"labware_1","B6","Serine","","400","","",""
"labware_1","C1","Threonine","","500","","",""
"labware_1","C2","Tryptophan","","400","","",""
"labware_3","A2","Tyrosine","","41000","","",""
"labware_5","B3","Valine","","4000","","",""
"labware_1","C3","D.Glucose","","500","","",""
"labware_1","C4","L.Lactate","","500","","",""
"labware_1","C5","FeSO4","","500","","",""
"labware_8","A1","Water","","19000","","",""
">CommandLines","","","","","","",""
"labware_8","A1","labware_2","A1","677.5","0","1","Filling Water"
"labware_8","A1","labware_2","A2","677.5","0","1","Filling Water"
"labware_8","A1","labware_2","A3","827.5","0","1","Filling Water"
"labware_8","A1","labware_2","B1","827.5","0","1","Filling Water"
"labware_3","A1","labware_2","A1","6000","0","2","Dilution"
"labware_3","A1","labware_2","A2","6000","0","3","Dilution"
"labware_3","A1","labware_2","A3","6000","0","4","Dilution"
"labware_3","A1","labware_2","B1","6000","0","5","Dilution"
"labware_1","A1","labware_2","A1","30","0","6","Dilution"
"labware_1","A1","labware_2","A2","30","0","7","Dilution"
"labware_1","A1","labware_2","A3","30","0","8","Dilution"
"labware_1","A1","labware_2","B1","30","0","9","Dilution"
"labware_1","A2","labware_2","A1","30","0","10","Dilution"
"labware_1","A2","labware_2","A2","30","0","11","Dilution"
"labware_1","A2","labware_2","A3","30","0","12","Dilution"
"labware_1","A2","labware_2","B1","30","0","13","Dilution"
"labware_1","A3","labware_2","A1","75","0","14","Dilution"
"labware_1","A3","labware_2","A2","75","0","15","Dilution"
"labware_1","A3","labware_2","A3","75","0","16","Dilution"
"labware_1","A3","labware_2","B1","75","0","17","Dilution"
"labware_5","A1","labware_2","A1","300","0","18","Dilution"
"labware_5","A1","labware_2","A2","300","0","19","Dilution"
"labware_5","A1","labware_2","A3","300","0","20","Dilution"
"labware_5","A1","labware_2","B1","300","0","21","Dilution"
"labware_5","A2","labware_2","A1","300","0","22","Dilution"
"labware_5","A2","labware_2","A2","300","0","23","Dilution"
"labware_5","A2","labware_2","A3","300","0","24","Dilution"
"labware_5","A2","labware_2","B1","300","0","25","Dilution"
"labware_1","A4","labware_2","A1","75","0","26","Dilution"
"labware_1","A4","labware_2","A2","75","0","27","Dilution"
"labware_1","A4","labware_2","A3","75","0","28","Dilution"
"labware_1","A4","labware_2","B1","75","0","29","Dilution"
"labware_1","A5","labware_2","A1","75","0","30","Dilution"
"labware_1","A5","labware_2","A2","75","0","31","Dilution"
"labware_1","A5","labware_2","A3","75","0","32","Dilution"
"labware_1","A5","labware_2","B1","75","0","33","Dilution"
"labware_1","A6","labware_2","A1","224.999999997187","0","34","Dilution"
"labware_1","A6","labware_2","A2","224.999999997187","0","35","Dilution"
"labware_1","A6","labware_2","A3","224.999999997187","0","36","Dilution"
"labware_1","A6","labware_2","B1","224.999999997187","0","37","Dilution"
"labware_1","B1","labware_2","A1","37.5","0","38","Dilution"
"labware_1","B1","labware_2","A2","37.5","0","39","Dilution"
