SourceLabware,SourceSlot,TargetLabware,TargetSlot,TransAmt,MixAmt,TipID,Comment
>Amount List
labware_10,A1,MER,,900,,,
labware_10,A2,AMI,,800,,,
labware_10,A3,FEP,,1200,,,
labware_11,A1,PBS,,37,,,
labware_11,A2,CAMHB,,20,,,
>CommandLines
labware_11,A2,labware_8,A1,1050,0,1,Initial solvent distribution
labware_11,A2,labware_8,A2,225,0,1,Initial solvent distribution
labware_11,A2,labware_8,A3,337.5,0,1,Initial solvent distribution
labware_11,A2,labware_8,A4,393.75,0,1,Initial solvent distribution
labware_11,A2,labware_8,A5,421.875,0,1,Initial solvent distribution
labware_11,A2,labware_8,B1,435.9375,0,1,Initial solvent distribution
labware_11,A2,labware_8,B2,442.96875,0,1,Initial solvent distribution
labware_11,A2,labware_8,B3,446.484375,0,1,Initial solvent distribution
labware_11,A2,labware_8,B4,448.2421875,0,1,Initial solvent distribution
labware_11,A2,labware_8,B5,449.12109375,0,1,Initial solvent distribution
labware_11,A2,labware_8,C1,337.17041015625,0,1,Initial solvent distribution
labware_11,A2,labware_8,C2,225,0,1,Initial solvent distribution
labware_11,A2,labware_8,C3,337.5,0,1,Initial solvent distribution
labware_11,A2,labware_8,C4,393.75,0,1,Initial solvent distribution
labware_11,A2,labware_8,C5,421.875,0,1,Initial solvent distribution
labware_11,A2,labware_9,A1,435.9375,0,1,Initial solvent distribution
labware_11,A2,labware_9,A2,442.96875,0,1,Initial solvent distribution
labware_11,A2,labware_9,A3,446.484375,0,1,Initial solvent distribution
labware_11,A2,labware_9,A4,448.2421875,0,1,Initial solvent distribution
labware_11,A2,labware_9,A5,449.12109375,0,1,Initial solvent distribution
labware_11,A2,labware_9,B1,449.560546875,0,1,Initial solvent distribution
labware_11,A2,labware_9,B2,225,0,1,Initial solvent distribution
labware_11,A2,labware_9,B3,337.5,0,1,Initial solvent distribution
labware_11,A2,labware_9,B4,393.75,0,1,Initial solvent distribution
labware_11,A2,labware_9,B5,421.875,0,1,Initial solvent distribution
labware_11,A2,labware_9,C1,435.9375,0,1,Initial solvent distribution
labware_11,A2,labware_9,C2,442.96875,0,1,Initial solvent distribution
labware_11,A2,labware_9,C3,446.484375,0,1,Initial solvent distribution
labware_11,A2,labware_9,C4,448.2421875,0,1,Initial solvent distribution
labware_11,A2,labware_9,C5,449.12109375,0,1,Initial solvent distribution
labware_11,A2,labware_10,A4,0,0,1,Initial solvent distribution
labware_10,A1,labware_8,C1,561.95068359375,561.95068359375,2,Initial stock dilution
labware_10,A2,labware_9,B1,449.560546875,449.560546875,3,Initial stock dilution
labware_10,A3,labware_10,A4,899.12109375,899.12109375,4,Initial stock dilution
labware_8,C1,labware_8,B5,449.12109375,449.12109375,5,Serially diluting to  MER 8 CAMHB
labware_8,B5,labware_8,B4,448.2421875,448.2421875,6,Serially diluting to  MER 4 CAMHB
labware_8,B4,labware_8,B3,446.484375,446.484375,7,Serially diluting to  MER 2 CAMHB
labware_8,B3,labware_8,B2,442.96875,442.96875,8,Serially diluting to  MER 1 CAMHB
labware_8,B2,labware_8,B1,435.9375,435.9375,9,Serially diluting to  MER 0.5 CAMHB
labware_8,B1,labware_8,A5,421.875,421.875,10,Serially diluting to  MER 0.25 CAMHB
labware_8,A5,labware_8,A4,393.75,393.75,11,Serially diluting to  MER 0.125 CAMHB
labware_8,A4,labware_8,A3,337.5,337.5,12,Serially diluting to  MER 0.0625 CAMHB
labware_8,A3,labware_8,A2,225,225,13,Serially diluting to  MER 0.03125 CAMHB
labware_9,B1,labware_9,A5,449.12109375,449.12109375,14,Serially diluting to  AMI 64 CAMHB
labware_9,A5,labware_9,A4,448.2421875,448.2421875,15,Serially diluting to  AMI 32 CAMHB
labware_9,A4,labware_9,A3,446.484375,446.484375,16,Serially diluting to  AMI 16 CAMHB
labware_9,A3,labware_9,A2,442.96875,442.96875,17,Serially diluting to  AMI 8 CAMHB
labware_9,A2,labware_9,A1,435.9375,435.9375,18,Serially diluting to  AMI 4 CAMHB
labware_9,A1,labware_8,C5,421.875,421.875,19,Serially diluting to  AMI 2 CAMHB
labware_8,C5,labware_8,C4,393.75,393.75,20,Serially diluting to  AMI 1 CAMHB
labware_8,C4,labware_8,C3,337.5,337.5,21,Serially diluting to  AMI 0.5 CAMHB
labware_8,C3,labware_8,C2,225,225,22,Serially diluting to  AMI 0.25 CAMHB
labware_10,A4,labware_9,C5,449.12109375,449.12109375,23,Serially diluting to  FEP 128 CAMHB
labware_9,C5,labware_9,C4,448.2421875,448.2421875,24,Serially diluting to  FEP 64 CAMHB
labware_9,C4,labware_9,C3,446.484375,446.484375,25,Serially diluting to  FEP 32 CAMHB
labware_9,C3,labware_9,C2,442.96875,442.96875,26,Serially diluting to  FEP 16 CAMHB
labware_9,C2,labware_9,C1,435.9375,435.9375,27,Serially diluting to  FEP 8 CAMHB
labware_9,C1,labware_9,B5,421.875,421.875,28,Serially diluting to  FEP 4 CAMHB
labware_9,B5,labware_9,B4,393.75,393.75,29,Serially diluting to  FEP 2 CAMHB
labware_9,B4,labware_9,B3,337.5,337.5,30,Serially diluting to  FEP 1 CAMHB
labware_9,B3,labware_9,B2,225,225,31,Serially diluting to  FEP 0.5 CAMHB
labware_8,A1,labware_4,"B2, B3, B4",100,0,32,Distributing  MER 0 CAMHB
labware_8,A1,labware_5,"B2, B3, B4",100,0,32,Distributing  MER 0 CAMHB
labware_8,A1,labware_6,"B2, B3, B4",100,0,32,Distributing  MER 0 CAMHB
labware_8,A2,labware_4,C11,100,0,33,Distributing  MER 0.03125 CAMHB
labware_8,A2,labware_5,C11,100,0,33,Distributing  MER 0.03125 CAMHB
labware_8,A2,labware_6,C11,100,0,33,Distributing  MER 0.03125 CAMHB
labware_8,A3,labware_4,C10,100,0,34,Distributing  MER 0.0625 CAMHB
labware_8,A3,labware_5,C10,100,0,34,Distributing  MER 0.0625 CAMHB
labware_8,A3,labware_6,C10,100,0,34,Distributing  MER 0.0625 CAMHB
