"SourceLabware","SourceSlot","TargetLabware","TargetSlot","TransAmt","MixAmt","TipID","Comment"
">Amount List","","","","","","",""
"labware_10","A1","AMOX","NA","2300","NA","NA","NA"
"labware_11","A1","MHB","NA","13","NA","NA","NA"
"labware_11","A2","","NA","8","NA","NA","NA"
">CommandLines","","","","","","",""
"labware_11","A1","labware_8","A1","450","0","1","Initial solvent distribution"
"labware_11","A1","labware_8","A2","225","0","1","Initial solvent distribution"
"labware_11","A1","labware_8","A3","337.5","0","1","Initial solvent distribution"
"labware_11","A1","labware_8","A4","393.75","0","1","Initial solvent distribution"
"labware_11","A1","labware_8","A5","421.875","0","1","Initial solvent distribution"
"labware_11","A1","labware_8","B1","435.9375","0","1","Initial solvent distribution"
"labware_11","A1","labware_8","B2","442.96875","0","1","Initial solvent distribution"
"labware_11","A1","labware_8","B3","446.484375","0","1","Initial solvent distribution"
"labware_11","A1","labware_8","B4","448.2421875","0","1","Initial solvent distribution"
"labware_11","A1","labware_8","B5","-898.2421875","0","1","Initial solvent distribution"
"labware_11","A2","labware_8","C1","450","0","2","Initial solvent distribution"
"labware_11","A2","labware_8","C2","225","0","2","Initial solvent distribution"
"labware_11","A2","labware_8","C3","337.5","0","2","Initial solvent distribution"
"labware_11","A2","labware_8","C4","393.75","0","2","Initial solvent distribution"
"labware_11","A2","labware_8","C5","421.875","0","2","Initial solvent distribution"
"labware_11","A2","labware_9","A1","435.9375","0","2","Initial solvent distribution"
"labware_11","A2","labware_9","A2","442.96875","0","2","Initial solvent distribution"
"labware_11","A2","labware_9","A3","446.484375","0","2","Initial solvent distribution"
"labware_11","A2","labware_9","A4","448.2421875","0","2","Initial solvent distribution"
"labware_11","A2","labware_9","A5","736.55859375","0","2","Initial solvent distribution"
"labware_10","A1","labware_8","B5","1796.484375","1796.484375","3","Initial stock dilution"
"labware_10","A1","labware_9","A5","161.68359375","161.68359375","4","Initial stock dilution"
"labware_8","B5","labware_8","B4","448.2421875","448.2421875","5","Serially diluting to  AMOX 2500 MHB"
"labware_8","B4","labware_8","B3","446.484375","446.484375","6","Serially diluting to  AMOX 1250 MHB"
"labware_8","B3","labware_8","B2","442.96875","442.96875","7","Serially diluting to  AMOX 625 MHB"
"labware_8","B2","labware_8","B1","435.9375","435.9375","8","Serially diluting to  AMOX 312.5 MHB"
"labware_8","B1","labware_8","A5","421.875","421.875","9","Serially diluting to  AMOX 156.25 MHB"
"labware_8","A5","labware_8","A4","393.75","393.75","10","Serially diluting to  AMOX 78.125 MHB"
"labware_8","A4","labware_8","A3","337.5","337.5","11","Serially diluting to  AMOX 39.0625 MHB"
"labware_8","A3","labware_8","A2","225","225","12","Serially diluting to  AMOX 19.53125 MHB"
"labware_9","A5","labware_9","A4","448.2421875","448.2421875","13","Serially diluting to  AMOX 225 "
"labware_9","A4","labware_9","A3","446.484375","446.484375","14","Serially diluting to  AMOX 112.5 "
"labware_9","A3","labware_9","A2","442.96875","442.96875","15","Serially diluting to  AMOX 56.25 "
"labware_9","A2","labware_9","A1","435.9375","435.9375","16","Serially diluting to  AMOX 28.125 "
"labware_9","A1","labware_8","C5","421.875","421.875","17","Serially diluting to  AMOX 14.0625 "
"labware_8","C5","labware_8","C4","393.75","393.75","18","Serially diluting to  AMOX 7.03125 "
"labware_8","C4","labware_8","C3","337.5","337.5","19","Serially diluting to  AMOX 3.515625 "
"labware_8","C3","labware_8","C2","225","225","20","Serially diluting to  AMOX 1.7578125 "
"labware_8","A1","labware_4","B11, C11, D11","100","0","21","Distributing  AMOX 0 MHB"
"labware_8","A2","labware_4","B10, C10, D10","100","0","22","Distributing  AMOX 19.53125 MHB"
"labware_8","A3","labware_4","B9, C9, D9","100","0","23","Distributing  AMOX 39.0625 MHB"
"labware_8","A4","labware_4","B8, C8, D8","100","0","24","Distributing  AMOX 78.125 MHB"
"labware_8","A5","labware_4","B7, C7, D7","100","0","25","Distributing  AMOX 156.25 MHB"
