"SourceLabware","SourceSlot","TargetLabware","TargetSlot","TransAmt","MixAmt","TipID","Comment"
">Amount List","","","","","","",""
"labware_10","A1","CIP","NA","700","NA","NA","NA"
"labware_11","A1","MHB","NA","16","NA","NA","NA"
"labware_11","A2","","NA","9","NA","NA","NA"
">CommandLines","","","","","","",""
"labware_11","A1","labware_8","A1","225","0","1","Initial solvent distribution"
"labware_11","A1","labware_8","A2","337.5","0","1","Initial solvent distribution"
"labware_11","A1","labware_8","A3","393.75","0","1","Initial solvent distribution"
"labware_11","A1","labware_8","A4","421.875","0","1","Initial solvent distribution"
"labware_11","A1","labware_8","A5","435.9375","0","1","Initial solvent distribution"
"labware_11","A1","labware_8","B1","442.96875","0","1","Initial solvent distribution"
"labware_11","A1","labware_8","B2","446.484375","0","1","Initial solvent distribution"
"labware_11","A1","labware_8","B3","448.2421875","0","1","Initial solvent distribution"
"labware_11","A1","labware_8","B4","449.12109375","0","1","Initial solvent distribution"
"labware_11","A1","labware_8","B5","539.47265625","0","1","Initial solvent distribution"
"labware_11","A1","labware_8","C1","728.68359375","0","1","Initial solvent distribution"
"labware_11","A1","labware_8","C2","477.868359375","0","1","Initial solvent distribution"
"labware_11","A2","labware_8","C3","225","0","2","Initial solvent distribution"
"labware_11","A2","labware_8","C4","337.5","0","2","Initial solvent distribution"
"labware_11","A2","labware_8","C5","393.75","0","2","Initial solvent distribution"
"labware_11","A2","labware_9","A1","421.875","0","2","Initial solvent distribution"
"labware_11","A2","labware_9","A2","435.9375","0","2","Initial solvent distribution"
"labware_11","A2","labware_9","A3","442.96875","0","2","Initial solvent distribution"
"labware_11","A2","labware_9","A4","446.484375","0","2","Initial solvent distribution"
"labware_11","A2","labware_9","A5","448.2421875","0","2","Initial solvent distribution"
"labware_11","A2","labware_9","B1","449.12109375","0","2","Initial solvent distribution"
"labware_11","A2","labware_9","B2","539.47265625","0","2","Initial solvent distribution"
"labware_11","A2","labware_9","B3","728.68359375","0","2","Initial solvent distribution"
"labware_11","A2","labware_9","B4","477.868359375","0","2","Initial solvent distribution"
"labware_10","A1","labware_8","C2","53.096484375","53.096484375","3","Initial stock dilution"
